기관코드,전체기관명,최하위기관명,폐지구분,등록자
7530335,경기도교육청 삼일공업고등학교,삼일공업고등학교,현존,
7530336,경기도교육청 삼일상업고등학교,삼일상업고등학교,현존,
7530344,경기도교육청 수원공업고등학교,수원공업고등학교,현존,
7530345,경기도교육청 수원한일전산여자고등학교,수원한일전산여자고등학교,현존,
7530348,경기도교육청 안산공업고등학교,안산공업고등학교,현존,
7530355,경기도교육청 안성종합고등학교,안성종합고등학교,현존,
7530379,경기도교육청 파주공업고등학교,파주공업고등학교,현존,
7530386,경기도교육청 수성고등학교부설방송통신고등학교,수성고등학교부설방송통신고등학교,현존,
7530387,경기도교육청 수원여자고등학교부설방송통신고등학교,수원여자고등학교부설방송통신고등학교,현존,
7530406,경기도교육청 경기-고등학교입학자격검정고시,경기-고등학교입학자격검정고시,현존,
7530407,경기도교육청 경기-고등학교졸업자격검정고시,경기-고등학교졸업자격검정고시,현존,
7530410,경기도교육청 계명고등학교,계명고등학교,현존,
7530415,경기도교육청 부천실업고등학교,부천실업고등학교,현존,
7530421,경기도교육청 진영정보공업고등학교,진영정보공업고등학교,현존,
7530469,경기도교육청 과천중앙고등학교,과천중앙고등학교,현존,
7530470,경기도교육청 덕정고등학교,덕정고등학교,현존,
7530471,경기도교육청 도당고등학교,도당고등학교,현존,
7530472,경기도교육청 백양고등학교,백양고등학교,현존,
7530474,경기도교육청 사우고등학교,사우고등학교,현존,
7530475,경기도교육청 성안고등학교,성안고등학교,현존,
7530476,경기도교육청 장곡고등학교,장곡고등학교,현존,
7530477,경기도교육청 장안고등학교,장안고등학교,현존,
7530478,경기도교육청 초지고등학교,초지고등학교,현존,
7530479,경기도교육청 화홍고등학교,화홍고등학교,현존,
7530480,경기도교육청 송탄고등학교,송탄고등학교,현존,
7530481,경기도교육청 송현고등학교,송현고등학교,현존,
7530482,경기도교육청 풍덕고등학교,풍덕고등학교,현존,
7530483,경기도교육청 호원고등학교,호원고등학교,현존,
7530484,경기도교육청 동남고등학교,동남고등학교,현존,
7530485,경기도교육청 두레자연고등학교,두레자연고등학교,현존,
7530486,경기도교육청 안양예술고등학교,안양예술고등학교,현존,
7530488,경기도교육청 한국관광고등학교,한국관광고등학교,현존,
7530491,경기도교육청 발안농생명산업고등학교,발안농생명산업고등학교,현존,
7530493,경기도교육청 용인농생명산업고등학교,용인농생명산업고등학교,현존,
7530495,경기도교육청 한국애니메이션고등학교,한국애니메이션고등학교,현존,
7530496,경기도교육청 경민여자정보산업고등학교,경민여자정보산업고등학교,현존,
7530497,경기도교육청 매향여자정보고등학교,매향여자정보고등학교,현존,
7530499,경기도교육청 안산경영정보고등학교,안산경영정보고등학교,현존,
7530504,경기도교육청 청담정보통신고등학교,청담정보통신고등학교,현존,
7530506,경기도교육청 안양상업고등학교,안양상업고등학교,현존,
7530520,경기도교육청 고잔고등학교,고잔고등학교,현존,
7530521,경기도교육청 광주고등학교,광주고등학교,현존,
7530522,경기도교육청 기흥고등학교,기흥고등학교,현존,
7530523,경기도교육청 돌마고등학교,돌마고등학교,현존,
7530524,경기도교육청 수일고등학교,수일고등학교,현존,
